sentence		0.0000  0.0000  1.0000
"(that is a must, but not every restaurant can do...)"		0.7143  0.1429  0.1429
"(the asparagus, truffle oil, parmesan bruschetta is a winner!)"		0.2308  0.2308  0.5385
$20 for all you can eat sushi cannot be beaten.		0.0000  0.5556  0.4444
"$6 and there is much tasty food, all of it fresh and continually refilled."		0.1818  0.2727  0.5455
a beautifully designed dreamy egyptian restaurant that gets sceney at night.		0.4000  0.2667  0.3333
a classic!		1.0000  0.0000  0.0000
"a cool bar with great food, and tons of excellent beer."		0.3077  0.1538  0.5385
"a different server enhanced the fun, dumping our entrees in front of us halfway through our appetizer (which was delicious)."		0.3158  0.4211  0.2632
"a few tips: skip the turnip cake, roast pork buns and egg custards."		0.5882  0.1176  0.2941
"a gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order."		0.5882  0.2941  0.1176
"a large is $20, and toppings are about $3 each."		0.5556  0.4444  0.0000
a little crowded but they move that line really fast!		0.5556  0.3333  0.1111
a little noise but i think that was because of our party!		0.1111  0.3333  0.5556
a little overpriced but worth it once you take a bite.		0.3333  0.5556  0.1111
a quintessential slice of nyc pizza.		0.1429  0.7143  0.1429
a real dissapointment.		0.3333  0.3333  0.3333
a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.		0.3684  0.3158  0.3158
a weakness is the chicken in the salads.		0.4000  0.4000  0.2000
"a word to the wise: you can't dine here and disturb the maitre-d's sense of ' table turnover', as whacked as it is, or else."		0.1111  0.5185  0.3704
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.		0.3913  0.4348  0.1739
"admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm."		0.3333  0.2000  0.4667
"after all that, they complained to me about the small tip."		0.2857  0.2857  0.4286
"after dinner the manager grabbed my boyfriend, asked him: where are you from...maybe you dont know how things work in america...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on."		0.3111  0.4222  0.2667
"after that she simply took our plates, walked away, came back another twenty minutes later with the bill and the chicken on it!!!!!!!!!!!!"		0.2381  0.3810  0.3810
after the 4th time i asked again and the waiter than said after our dinner.		0.3846  0.3846  0.2308
"again, i'd be super upset if that were my employee."		0.5556  0.4444  0.0000
"again, no apology, no is there anything else i can get you, no can i get you a drink to make up for it, nothing!!!!"		0.2632  0.4737  0.2632
"all in all the food was good - a little on the expensive side, but fresh."		0.1538  0.6154  0.2308
"all in all, i would return - as it was a beautiful restaurant - but i hope the staff pays more attention to the little details in the future."		0.4483  0.3103  0.2414
"all in all, the food was great (except for the dessserts)."		0.5556  0.3333  0.1111
all of the pizzas are terrific and the price is even better!		0.2857  0.2857  0.4286
all the staff is absolutely professional!!		0.8000  0.2000  0.0000
"all the various greek and cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted."		0.4444  0.2222  0.3333
"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!"		0.2593  0.1852  0.5556
also they were $15 each!		0.0000  0.6667  0.3333
